embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split
sim_0103,abnormal,7.249146605324053,22,0,0,0.20644576204028456,4.54180676488626,0.130595233614213,2.873095139512686,evaluation
sim_0104,normal,8.304615923320359,22,0,0,0.13636621485887754,3.000056726895306,0.11766267750627094,2.5885789051379606,calibration
sim_0105,normal,7.00247723368093,22,1,0,0.22780336998293862,5.01167413962465,0.14223166739826013,3.129096682761723,evaluation
sim_0106,normal,11.646934247171036,22,0,0,0.18446337480625596,4.058194245737631,0.13420140132166558,2.9524308290766426,calibration
sim_0107,abnormal,9.029397429000891,22,3,0,0.35526986467379734,7.815937022823542,0.21154060703235067,4.653893354711714,calibration
sim_0108,abnormal,11.052443104690415,22,3,0,0.31119444081904857,6.846277698019068,0.1924480808801069,4.233857779362352,calibration
sim_0109,normal,11.137282960181258,22,1,0,0.19529839502683405,4.2965646905903485,0.14882006011466142,3.2740413225225513,evaluation
sim_0110,abnormal,3.4410260845645504,22,3,0,0.39102362600588175,8.6025197721294,0.14652378370909125,3.2235232416000072,calibration
sim_0111,abnormal,7.340530598663378,22,2,0,0.2903507188932325,6.387715815651116,0.16211172194286835,3.5664578827431033,evaluation
sim_0112,ambiguous,21.255698388404863,22,1,1,0.2241417301248473,4.93111806274664,0.2028882379649401,4.463541235228682,calibration
sim_0113,normal,10.721942853718804,22,2,0,0.29167603706580403,6.416872815447689,0.1910821003443143,4.203806207574915,evaluation
sim_0114,normal,9.516007148229486,22,2,0,0.2635802047768322,5.7987645050903085,0.16525862640106867,3.635689780823511,calibration
sim_0115,normal,12.014223805493026,22,0,0,0.2121517555154476,4.667338621339847,0.13225991473286955,2.9097181241231302,calibration
sim_0116,normal,12.171477044108007,22,1,0,0.2231983851337192,4.910364472941822,0.16682339642939983,3.6701147214467964,evaluation
sim_0117,abnormal,6.298254010138107,22,3,0,0.3276156826578018,7.207545018471639,0.1542616532817765,3.393756372199083,calibration
sim_0118,normal,10.026482693027672,22,2,0,0.2428871011414721,5.343516225112387,0.17090126130150213,3.7598277486330467,evaluation
sim_0119,normal,12.904673463413692,22,1,1,0.23214836020008237,5.107263924401812,0.17313569234431714,3.808985231574977,calibration
sim_0120,ambiguous,10.850319733162229,22,1,0,0.2414462969685208,5.3118185333074575,0.17089363344728553,3.7596599358402814,calibration
sim_0121,abnormal,9.172037948701599,22,1,0,0.22284146561789667,4.902512243593726,0.146982023828009,3.233604524216198,evaluation
sim_0122,normal,9.258513863441056,22,1,0,0.21544169100999735,4.739717202219942,0.13604136733297376,2.992910081325422,evaluation
sim_0123,abnormal,6.942590578307988,22,2,0,0.2911175537644486,6.4045861828178685,0.17212239982710814,3.786692796196379,evaluation
sim_0124,ambiguous,8.92589597316368,22,0,0,0.22413099312578974,4.930881848767374,0.13326945465495624,2.931928002409037,calibration
sim_0125,abnormal,11.505964666825959,22,0,0,0.22245473052846879,4.894004071626313,0.1358828916390234,2.9894236160585144,evaluation
sim_0126,normal,7.906716522231849,22,0,0,0.26663149612558845,5.865892914762946,0.14350295212225117,3.1570649466895255,evaluation
sim_0127,abnormal,10.101126744473813,22,1,0,0.2578138793024928,5.671905344654841,0.1605608169103802,3.532337972028365,calibration
sim_0128,abnormal,10.900231871599743,22,0,0,0.23679780510459192,5.209551712301022,0.14440510189120848,3.1769122416065865,calibration
sim_0129,normal,13.948545474960891,22,1,1,0.21963069374462105,4.831875262381663,0.178888721857205,3.93555188085851,calibration
sim_0130,abnormal,5.7007717409417,22,2,0,0.3110435392789624,6.842957864137173,0.15981519865998695,3.515934370519713,evaluation
sim_0131,abnormal,10.463060456129476,22,3,0,0.3025266111664176,6.655585445661187,0.20439958921575077,4.496790962746517,evaluation
sim_0132,abnormal,14.205695053214138,22,0,0,0.22602917950816873,4.972641949179712,0.15408724604015625,3.3899194128834376,calibration
sim_0133,normal,11.211830604276779,22,1,0,0.23048508842940718,5.070671945446958,0.15689944796682362,3.4517878552701196,evaluation
sim_0134,normal,5.205580876786434,22,1,0,0.25381869362144954,5.58401125967189,0.13641721877940877,3.0011788131469928,evaluation
sim_0135,ambiguous,9.673683096013697,22,0,0,0.1993000787192665,4.384601731823863,0.13154702480688776,2.8940345457515306,evaluation
sim_0136,normal,15.65362271343786,22,0,0,0.27152974093914956,5.97365430066129,0.22402598921480235,4.928571762725652,evaluation
sim_0137,normal,7.061038834479373,22,0,0,0.21803112379265346,4.796684723438377,0.130367174498936,2.8680778389765917,calibration
sim_0138,abnormal,10.544808893621262,22,4,1,0.37828737887286984,8.322322335203136,0.25488353344487835,5.6074377357873235,evaluation
sim_0139,abnormal,7.7644463729841995,22,2,0,0.3018769812669795,6.641293587873548,0.17078565519793645,3.757284414354602,evaluation
sim_0140,normal,14.419519073984857,22,1,0,0.1921466387644146,4.227226052817121,0.1605031740467041,3.5310698290274902,calibration
sim_0141,abnormal,15.015413460467878,22,0,0,0.11794091335142756,2.594700093731406,0.10522687478349466,2.3149912452368824,evaluation
sim_0142,normal,11.093775623296569,22,1,0,0.3577909942944833,7.871401874478633,0.20769790123295162,4.569353827124936,calibration
sim_0143,abnormal,11.910732829395508,22,0,0,0.25387823054409464,5.585321071970082,0.16308740221071436,3.5879228486357158,evaluation
sim_0144,abnormal,9.600809323117751,22,1,0,0.22253224271248292,4.8957093396746245,0.14488614069401243,3.1874950952682735,evaluation
sim_0145,ambiguous,21.442058104533498,22,4,4,0.3057838062230865,6.727243736907902,0.3094032026800146,6.80687045896032,calibration
sim_0146,normal,14.304330794823134,22,1,0,0.1898586960837028,4.176891313841462,0.15832468614237621,3.4831430951322764,calibration
sim_0147,normal,6.289188337247384,22,1,0,0.23532503787913012,5.177150833340862,0.13906838424714443,3.0595044534371776,calibration
sim_0148,abnormal,6.183148059661692,22,2,0,0.2830760060134401,6.227672132295682,0.14430714266645311,3.174757138661968,evaluation
sim_0149,abnormal,9.95648847067248,22,1,0,0.2129266990810021,4.684387379782046,0.15655730231770915,3.4442606509896017,evaluation
sim_0150,normal,8.890123003280012,22,0,0,0.23986200711705236,5.276964156575152,0.14215506495677105,3.1274114290489634,evaluation
sim_0151,normal,10.883934174734625,22,0,0,0.19066729003424643,4.194680380753422,0.13913188740419186,3.0609015228922205,evaluation
sim_0152,normal,8.63162510292262,22,0,0,0.19885125670084636,4.374727647418619,0.12811699422763634,2.8185738730079994,evaluation
