embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split,evaluation_label,classifier,rule_name,embryo_call
sim_0139,abnormal,7.7644463729841995,22,2,0,0.3018769812669795,6.641293587873548,0.17078565519793645,3.757284414354602,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0141,abnormal,15.015413460467878,22,0,0,0.11794091335142756,2.594700093731406,0.10522687478349466,2.3149912452368824,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0143,abnormal,11.910732829395508,22,0,0,0.25387823054409464,5.585321071970082,0.16308740221071436,3.5879228486357158,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0144,abnormal,9.600809323117751,22,1,0,0.22253224271248292,4.8957093396746245,0.14488614069401243,3.1874950952682735,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0148,abnormal,6.183148059661692,22,2,0,0.2830760060134401,6.227672132295682,0.14430714266645311,3.174757138661968,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0149,abnormal,9.95648847067248,22,1,0,0.2129266990810021,4.684387379782046,0.15655730231770915,3.4442606509896017,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0150,normal,8.890123003280012,22,0,0,0.23986200711705236,5.276964156575152,0.14215506495677105,3.1274114290489634,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0151,normal,10.883934174734625,22,0,0,0.19066729003424643,4.194680380753422,0.13913188740419186,3.0609015228922205,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0152,normal,8.63162510292262,22,0,0,0.19885125670084636,4.374727647418619,0.12811699422763634,2.8185738730079994,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0153,ambiguous,8.231090478978869,22,1,0,0.2724915393992442,5.994813866783373,0.14777296405774026,3.251005209270286,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0154,abnormal,14.034122440441982,22,1,0,0.2316809289658603,5.096980437248926,0.18431414744024063,4.054911243685294,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0155,ambiguous,13.784968815583582,22,1,0,0.3145358268924905,6.91978819163479,0.22935124157718198,5.045727314698004,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0156,ambiguous,12.785154356940271,22,2,0,0.298012593971533,6.556277067373726,0.20703274950870315,4.554720489191469,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0160,normal,6.208229800747587,22,0,0,0.23845540695377096,5.246018952982961,0.13502229274317476,2.970490440349845,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0163,ambiguous,11.057327754708327,22,1,0,0.24542633664569669,5.399379406205327,0.1650077184002025,3.630169804804455,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0165,normal,8.659377173574539,22,2,0,0.28878719489353466,6.353318287657762,0.16993700357570277,3.7386140786654614,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0168,abnormal,9.368764513450595,22,2,0,0.31180103866277936,6.859622850581147,0.18694287392817163,4.112743226419776,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
