embryo_id,latent_status,n_affected,classifier,rule_name,embryo_call,truth_binary
sim_0432,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0433,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0434,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0435,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0436,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0437,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0438,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0439,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0440,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0441,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0442,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0443,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0444,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0445,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0446,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0447,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0448,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0449,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0450,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0451,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0452,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0453,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0454,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0455,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0456,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0457,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0458,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0459,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0460,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0461,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0462,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0463,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0464,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0465,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0466,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
